Team ▾,QB,RB,WR,TE,OL,Offense,IDL,EDGE,LB,S,CB,Defense,Wins,Winning %,Playoff Appearance
49ers,"$22,715,235","$3,134,553","$15,039,393","$10,376,509","$29,524,154","$80,789,844","$18,535,038","$25,268,938","$16,541,317","$17,549,904","$14,537,091","$92,432,288",13,0.76,Yes
Bears,"$6,917,413","$4,900,984","$11,115,639","$5,756,091","$27,473,483","$56,163,610","$11,799,311","$5,649,095","$6,862,834","$19,630,168","$6,224,698","$50,166,106",3,0.18,No
Bengals,"$11,332,371","$15,533,810","$22,298,088","$7,324,969","$30,652,020","$87,141,258","$25,457,899","$24,666,921","$7,997,820","$26,928,297","$20,293,823","$105,344,760",12,0.71,Yes
Bills,"$20,230,481","$7,299,886","$18,982,654","$4,501,683","$29,350,967","$80,365,671","$16,458,562","$12,078,022","$24,091,768","$18,151,730","$26,310,989","$97,091,071",13,0.76,Yes
Broncos,"$18,082,500","$6,405,499","$19,436,070","$5,262,023","$43,074,703","$92,260,795","$13,772,100","$10,635,344","$6,989,055","$23,249,297","$22,834,821","$77,480,617",5,0.29,No
Browns,"$14,942,928","$14,503,104","$11,614,046","$6,171,535","$37,805,257","$85,036,870","$9,433,318","$19,071,235","$9,826,334","$11,808,926","$12,414,924","$62,554,737",7,0.41,No
Buccaneers,"$15,762,231","$7,606,106","$25,649,717","$6,774,488","$36,945,947","$92,738,489","$16,245,569","$13,044,679","$26,999,723","$6,991,080","$16,467,478","$79,748,529",8,0.47,Yes
Cardinals,"$16,348,925","$6,213,758","$24,621,833","$7,121,287","$44,681,251","$98,987,054","$23,503,243","$9,842,220","$15,369,345","$19,606,956","$7,124,107","$75,445,871",4,0.24,No
Chargers,"$10,283,406","$9,875,576","$37,408,149","$7,250,247","$31,772,859","$96,590,237","$13,777,389","$41,335,618","$9,663,825","$13,289,700","$21,839,498","$99,906,030",10,0.59,Yes
Chiefs,"$38,825,381","$6,354,516","$17,174,008","$11,542,063","$32,124,103","$106,020,071","$35,145,929","$21,080,281","$5,261,411","$10,692,255","$5,600,619","$77,780,495",14,0.82,Yes
Colts,"$22,163,558","$3,818,974","$9,081,436","$9,255,943","$42,356,344","$86,676,255","$29,095,351","$22,019,573","$20,698,461","$5,299,201","$21,899,515","$99,012,101",4,0.24,No
