Team,QB,RB,WR,TE,OL,Offense,IDL,EDGE,LB,S,CB,Defense,Wins,Winning %,Playoff Appearance
49ers,"$5,439,253","$10,358,769","$26,286,132","$14,990,408","$40,079,867","$97,154,429","$17,915,659","$24,853,694","$26,810,477","$11,800,814","$29,015,029","$110,395,673",6,0.35,No
Bears,"$8,327,616","$9,736,332","$37,952,867","$19,873,400","$23,996,086","$99,886,301","$17,159,182","$32,611,034","$34,231,531","$12,569,754","$20,502,840","$117,074,341",5,0.29,No
Bengals,"$30,499,712","$6,747,887","$35,644,303","$10,577,373","$46,265,682","$129,734,957","$26,076,196","$36,983,491","$20,882,097","$10,618,698","$17,956,740","$112,517,222",9,0.53,No
Bills,"$32,971,003","$3,973,027","$10,455,183","$12,084,601","$27,472,499","$86,956,313","$17,252,796","$23,812,873","$17,740,508","$5,921,518","$20,208,707","$84,936,402",13,0.76,Yes
Broncos,"$13,110,849","$5,046,536","$12,568,231","$5,216,733","$44,850,151","$80,792,500","$31,124,246","$6,752,570","$13,394,181","$8,765,651","$17,623,191","$77,659,839",10,0.59,Yes
Browns,"$30,984,856","$10,339,148","$11,930,051","$13,033,589","$51,546,311","$117,833,955","$12,295,923","$27,698,968","$10,309,562","$10,863,333","$20,889,138","$82,056,924",3,0.18,No
Buccaneers,"$8,949,577","$5,050,312","$38,896,408","$4,229,279","$25,515,432","$82,641,008","$33,523,463","$13,180,742","$11,391,861","$16,630,652","$19,464,563","$94,191,281",10,0.59,Yes
Cardinals,"$50,520,833","$15,423,257","$15,208,618","$3,685,800","$33,207,163","$118,045,671","$19,576,384","$12,516,199","$19,515,888","$36,723,211","$11,888,713","$100,220,395",8,0.47,No
Chargers,"$21,848,175","$5,839,081","$14,682,557","$5,370,957","$31,075,862","$78,816,632","$9,772,795","$58,528,299","$8,023,459","$26,556,983","$11,459,672","$114,341,208",11,0.65,Yes
Chiefs,"$39,920,769","$4,308,110","$22,663,060","$24,527,188","$63,686,278","$155,105,405","$13,125,000","$24,087,798","$10,373,584","$19,239,937","$8,121,182","$74,947,501",15,0.88,Yes
Colts,"$14,038,592","$13,082,600","$28,681,350","$13,058,810","$68,152,749","$137,014,101","$26,190,000","$23,338,047","$18,170,000","$8,115,334","$12,795,267","$88,608,648",8,0.47,No
Commanders,"$14,010,527","$6,881,716","$30,983,923","$7,873,277","$30,933,716","$90,683,159","$46,925,722","$17,338,729","$9,176,696","$14,994,568","$10,398,101","$98,833,816",12,0.71,Yes
Cowboys,"$52,856,419","$3,800,243","$24,718,680","$3,652,131","$35,113,401","$120,140,874","$9,761,676","$32,015,474","$8,262,196","$14,377,970","$20,260,270","$84,677,586",7,0.41,No
Dolphins,"$10,351,111","$8,245,643","$48,466,416","$6,829,721","$31,416,688","$105,309,579","$11,595,889","$31,367,526","$11,030,883","$8,629,369","$17,573,203","$80,196,870",8,0.47,No
Eagles,"$16,613,774","$6,180,344","$24,141,910","$10,628,729","$44,300,646","$101,865,403","$16,049,828","$24,525,570","$5,940,732","$6,219,950","$25,786,278","$78,522,358",14,0.82,Yes
Falcons,"$29,487,879","$8,184,625","$19,632,121","$14,286,522","$53,973,902","$125,565,049","$33,534,517","$21,109,114","$12,175,161","$19,539,249","$17,135,605","$103,493,646",8,0.47,No
Giants,"$6,133,889","$5,637,000","$20,313,020","$3,730,227","$48,706,002","$84,520,138","$23,367,598","$27,709,977","$13,606,931","$7,851,299","$9,327,032","$81,862,837",3,0.18,No
Jaguars,"$18,629,135","$7,423,297","$37,935,310","$10,579,961","$30,438,183","$105,005,886","$12,315,639","$27,158,553","$24,241,166","$12,614,969","$13,167,314","$89,497,641",4,0.24,No
Jets,"$20,751,348","$4,536,542","$25,436,236","$8,086,864","$28,934,414","$87,745,404","$29,683,022","$19,872,245","$15,203,883","$7,431,945","$30,852,788","$103,043,883",5,0.29,No
Lions,"$28,846,055","$11,322,987","$15,157,607","$4,675,085","$47,800,439","$107,802,173","$20,855,192","$18,052,241","$20,570,393","$3,293,173","$17,548,051","$80,319,050",15,0.88,Yes
Packers,"$22,044,397","$9,443,475","$8,589,668","$5,568,815","$28,010,001","$73,656,356","$35,358,714","$18,251,614","$8,673,478","$12,216,920","$35,295,967","$109,796,693",11,0.65,Yes
Panthers,"$14,557,042","$14,152,215","$14,769,137","$8,584,653","$61,938,020","$114,001,067","$16,894,383","$11,126,198","$10,901,938","$15,011,668","$12,768,775","$66,702,962",5,0.29,No
Patriots,"$15,502,604","$9,921,941","$9,055,723","$9,890,013","$31,663,564","$76,033,845","$20,695,798","$13,942,552","$16,119,618","$18,085,500","$20,264,065","$89,107,533",4,0.24,No
Raiders,"$9,754,289","$6,175,445","$13,861,139","$8,965,531","$33,486,222","$72,242,626","$17,777,777","$41,239,077","$11,506,868","$15,085,885","$9,468,747","$95,078,354",4,0.24,No
Rams,"$50,180,755","$3,890,559","$39,619,682","$18,807,433","$63,640,686","$176,139,115","$7,226,982","$9,641,772","$4,254,668","$8,663,014","$9,718,595","$39,505,031",10,0.59,Yes
Ravens,"$34,002,500","$9,729,856","$13,950,625","$19,404,915","$35,017,649","$112,105,545","$18,954,981","$12,208,698","$14,151,768","$25,065,190","$34,495,524","$104,876,161",12,0.71,Yes
Saints,"$14,673,640","$22,760,974","$11,484,199","$18,344,833","$37,229,146","$104,492,792","$11,831,878","$32,982,557","$18,368,172","$11,397,015","$9,927,897","$84,507,519",5,0.29,No
Seahawks,"$27,581,667","$4,941,040","$40,124,347","$12,724,610","$21,171,014","$106,542,678","$35,055,349","$15,123,242","$4,784,029","$13,119,534","$12,498,744","$80,580,898",10,0.59,No
Steelers,"$5,595,948","$5,350,660","$11,800,521","$7,024,137","$43,037,477","$72,808,743","$35,040,700","$40,372,556","$19,663,831","$29,852,600","$12,299,434","$137,229,121",10,0.59,Yes
Texans,"$15,186,874","$8,979,136","$27,152,153","$11,598,512","$52,251,890","$115,168,565","$8,217,631","$27,569,743","$13,784,153","$15,733,956","$18,627,034","$83,932,517",10,0.59,Yes
Titans,"$5,354,040","$7,036,753","$20,366,093","$4,065,759","$27,294,339","$64,116,984","$30,851,784","$29,674,351","$12,828,891","$14,263,235","$21,606,055","$109,224,316",3,0.18,No
Vikings,"$12,196,399","$5,659,711","$17,578,614","$15,354,620","$49,734,914","$100,524,258","$12,461,763","$15,998,778","$7,048,811","$16,883,387","$24,637,312","$77,030,051",14,0.82,Yes
